date,advances,declines,unchanged,ad_diff,ad_line,breadth_thrust_ema10
20230321,427,459,57,-32,49335.0,0.457555201172797
20230322,339,531,73,-192,49143.0,0.44520974139843267
20230323,224,671,48,-447,48696.0,0.4097678483457973
20230324,467,394,82,73,48769.0,0.4338814335161634
20230327,315,557,72,-242,48527.0,0.42067363326051394
20230328,690,191,63,499,49026.0,0.48658768322387935
20230329,553,309,82,244,49270.0,0.5147592540024104
20230330,596,279,69,317,49587.0,0.5450108182097644
20230331,482,410,54,72,49659.0,0.5441649866070106
20230403,513,372,61,141,49800.0,0.5506188103055818
20230404,639,242,65,397,50197.0,0.5823812348481021
20230405,419,459,68,-40,50157.0,0.5632611842793231
20230406,192,703,51,-511,49646.0,0.499854630713047
20230407,435,422,89,13,49659.0,0.5012600792075667
20230410,223,678,47,-455,49204.0,0.4551223874779697
20230411,688,203,57,485,49689.0,0.5127666998455095
20230412,638,254,56,384,50073.0,0.5495812338320168
20230413,539,331,78,208,50281.0,0.562301051296206
20230414,610,263,75,347,50628.0,0.5871081287133489
20230417,491,391,66,100,50728.0,0.5815774402933996
20230418,312,579,57,-267,50461.0,0.5395030602706633
20230419,597,280,72,317,50778.0,0.5651806421391464
20230420,233,650,66,-417,50361.0,0.5103974635107378
20230421,247,642,60,-395,49966.0,0.46811433741174074
20230424,206,699,44,-493,49473.0,0.4243888777718361
20230425,248,643,57,-395,49078.0,0.3978343445416134
20230426,321,550,77,-229,48849.0,0.39250844659865436
20230427,407,468,73,-61,48788.0,0.40571470306123664
20230428,424,452,72,-28,48760.0,0.41995171429377226
20230502,642,249,57,393,49153.0,0.4746038972473992
20230503,343,526,79,-183,48970.0,0.4600771085230577
20230504,431,440,77,-9,48961.0,0.46639645691600556
20230508,573,304,71,269,49230.0,0.5003905083899691
20230509,360,506,82,-146,49084.0,0.48499303195374965
20230510,391,476,81,-85,48999.0,0.4788089156270429
20230511,505,357,86,148,49147.0,0.49827036146747505
20230512,235,652,61,-417,48730.0,0.4558462945162297
20230515,316,552,80,-236,48494.0,0.4391570227022189
20230516,305,565,78,-260,48234.0,0.42305114814612055
20230517,554,320,74,234,48468.0,0.4613813533718935
20230518,582,273,93,309,48777.0,0.5012577899199064
20230519,549,334,65,215,48992.0,0.5231643834544936
20230522,637,236,75,401,49393.0,0.5607104613976835
20230523,427,432,89,-5,49388.0,0.5491430391645138
20230524,399,462,87,-63,49325.0,0.533556056433937
20230525,185,683,80,-498,48827.0,0.47529743536467484
20230526,197,673,78,-476,48351.0,0.43005004377276945
20230530,457,411,81,46,48397.0,0.4475859805145449
20230531,305,560,85,-255,48142.0,0.4303160124336029
20230601,426,436,88,-10,48132.0,0.44193119852983453
20230602,603,273,74,330,48462.0,0.48673573777596674
20230605,658,211,81,447,48909.0,0.5359096354373717
20230607,423,442,85,-19,48890.0,0.5273837637288427
20230608,372,505,73,-133,48757.0,0.5086182281654146
20230609,490,379,81,111,48868.0,0.518663370905085
20230612,306,577,67,-271,48597.0,0.4873692791704633
20230613,388,471,91,-83,48514.0,0.4808817755600435
20230614,238,662,50,-424,48090.0,0.44152953353902546
20230615,244,630,76,-386,47704.0,0.41201074587247494
20230616,600,269,83,331,48035.0,0.4626358451165003
20230619,469,403,80,66,48101.0,0.47631006176754526
20230620,327,548,78,-221,47880.0,0.45765628430331623
20230621,207,681,65,-474,47406.0,0.4168293431769147
20230622,360,495,98,-135,47271.0,0.4175972137954661
20230623,174,724,55,-550,46721.0,0.3769002512548043
20230626,497,383,73,114,46835.0,0.411058883258063
20230627,438,434,81,4,46839.0,0.4276470095714427
20230628,367,506,80,-139,46700.0,0.42632745539964856
20230629,163,740,50,-577,46123.0,0.381633265884722
20230630,616,261,76,355,46478.0,0.43995349514129894
20230703,608,272,73,336,46814.0,0.48558178528089746
20230704,295,588,70,-293,46521.0,0.4580375216336139
20230705,247,633,73,-386,46135.0,0.42579103009692376
20230706,151,756,46,-605,45530.0,0.3786440992965008
20230707,238,659,56,-421,45109.0,0.35804133106523267
20230710,430,452,71,-22,45087.0,0.3815844244481361
20230711,627,251,75,376,45463.0,0.44204598488187735
20230712,497,365,91,132,45595.0,0.4665041922288129
20230713,472,401,80,71,45666.0,0.4799878619537418
20230714,445,430,78,15,45681.0,0.4851848740660485
20230717,371,514,63,-143,45538.0,0.4731892677900437
20230718,173,726,49,-553,44985.0,0.4221432263817619
20230719,274,602,72,-328,44657.0,0.4022599830628695
20230720,447,420,81,27,44684.0,0.42286197418890326
20230721,355,510,83,-155,44529.0,0.4205970014777311
20230724,119,794,35,-675,43854.0,0.36782291756870616
20230725,242,654,52,-412,43442.0,0.3500531663224479
20230726,51,875,22,-824,42618.0,0.2964208804369998
20230727,731,177,40,554,43172.0,0.38890182568393694
20230728,640,252,57,388,43560.0,0.4486449099664335
20230731,715,180,54,535,44095.0,0.5123245048023993
20230801,630,258,61,372,44467.0,0.5481672238309556
20230802,232,655,62,-423,44044.0,0.49605605696858857
20230803,348,525,76,-177,43867.0,0.47834139743852966
20230804,543,333,73,210,44077.0,0.5040726003949115
20230807,361,523,65,-162,43915.0,0.48667231681837886
20230808,253,645,52,-392,43523.0,0.4494113853539317
20230809,567,323,60,244,43767.0,0.4835327065051065
20230810,489,395,66,94,43861.0,0.49619356365226525
20230811,565,326,59,239,44100.0,0.5212709097977263
20230814,290,604,56,-314,43786.0,0.4854734330112371
20230816,136,780,34,-644,43142.0,0.4242003753220165
20230817,240,648,62,-408,42734.0,0.39621308349442624
20230818,360,523,67,-163,42571.0,0.398301799086812
20230821,459,436,56,23,42594.0,0.41912859234578675
20230822,376,499,76,-123,42471.0,0.421053263867332
20230823,368,505,78,-137,42334.0,0.4211408408003361
20230824,540,324,87,216,42550.0,0.45820614247300223
20230825,368,491,92,-123,42427.0,0.4527877751570304
20230828,728,155,67,573,43000.0,0.5203649180657799
20230829,624,249,77,375,43375.0,0.5557125024724391
20230830,462,398,90,64,43439.0,0.5523482842639195
20230831,356,516,78,-160,43279.0,0.5261498472584695
20230901,316,553,81,-237,43042.0,0.49660194114535927
20230904,431,436,83,-5,43037.0,0.4966954961473459
20230905,341,538,71,-197,42840.0,0.4769219226416024
20230906,290,591,69,-301,42539.0,0.45005819055053814
20230907,187,699,64,-512,42027.0,0.40660414646521553
20230908,611,268,71,343,42370.0,0.4590594066280194
20230911,508,359,83,149,42519.0,0.4821265125215933
20230912,234,640,76,-406,42113.0,0.44314615638598426
20230913,322,553,75,-231,41882.0,0.42948321886125984
20230914,611,254,85,357,42239.0,0.47982415752337443
20230915,644,240,67,404,42643.0,0.5250391811246367
20230918,330,551,70,-221,42422.0,0.49768193861698934
20230919,303,580,68,-277,42145.0,0.4695849239358812
20230920,353,521,77,-168,41977.0,0.45764042143536937
20230921,117,800,34,-683,41294.0,0.3976312479534156
20230922,289,596,66,-307,40987.0,0.38470805238304623
20230925,223,664,64,-441,40546.0,0.36047190552155967
20230926,151,741,59,-590,39956.0,0.32571019746505103
20230927,631,249,71,382,40338.0,0.39686206238876076
20231004,77,835,39,-758,39580.0,0.34005620096560485
20231005,298,585,69,-287,39293.0,0.33958886328360566
20231006,655,221,76,434,39727.0,0.4137939599551626
20231010,262,628,62,-366,39361.0,0.39208269859457123
20231011,714,180,58,534,39895.0,0.4660054294175229
20231012,679,203,70,476,40371.0,0.5212483094945678
20231013,280,594,78,-314,40057.0,0.4847242773543031
20231016,252,645,55,-393,39664.0,0.44767194598979315
20231017,583,283,86,300,39964.0,0.48867889429397937
20231018,392,478,82,-86,39878.0,0.48175086126665184
20231019,95,812,45,-717,39161.0,0.41320359632351195
20231020,135,761,56,-626,38535.0,0.36547015023871754
20231023,285,596,71,-311,38224.0,0.3578384915119999
20231024,634,249,69,385,38609.0,0.4233236376038158
20231025,615,270,67,345,38954.0,0.4727039315371744
20231026,81,836,35,-755,38199.0,0.40281803776903935
20231027,448,421,83,27,38226.0,0.42331204868622835
20231030,595,283,74,312,38538.0,0.4695601375769907
20231031,252,644,56,-392,38146.0,0.43532193074481057
20231101,639,253,60,386,38532.0,0.48642116388293305
20231102,696,208,48,488,39020.0,0.5379648621632686
20231103,720,161,71,559,39579.0,0.5887445456704732
20231106,744,153,55,591,40170.0,0.6325057988444035
20231107,245,637,69,-392,39778.0,0.5680097950141079
20231108,381,500,70,-119,39659.0,0.5433649432119348
20231109,435,445,71,-10,39649.0,0.5344473502312524
20231110,261,603,87,-342,39307.0,0.4921993471589035
20231113,285,593,73,-308,38999.0,0.46172698708321136
20231114,712,182,57,530,39529.0,0.5225803679145331
20231115,752,143,56,609,40138.0,0.580333658055009
20231116,549,312,90,237,40375.0,0.5907512951397175
20231117,271,616,65,-345,40030.0,0.5388918303884764
20231120,652,230,70,422,40452.0,0.5753167748529917
20231121,600,274,79,326,40778.0,0.595531698667946
20231122,432,422,99,10,40788.0,0.5792268081713682
20231123,405,471,77,-66,40722.0,0.557972618889899
20231124,455,415,82,40,40762.0,0.5516118710457585
20231127,350,529,73,-179,40583.0,0.5237151217129998
20231128,458,421,73,37,40620.0,0.5232299439312795
20231129,274,601,77,-327,40293.0,0.48503229178793
20231130,564,323,65,241,40534.0,0.5124539085111248
20231201,387,492,73,-105,40429.0,0.49933011378958614
20231204,461,413,78,48,40477.0,0.5044446302339176
20231205,359,518,75,-159,40318.0,0.48715470783003123
20231206,502,373,77,129,40447.0,0.5028928128998956
20231207,355,529,68,-174,40273.0,0.48447297608304907
20231208,542,340,70,202,40475.0,0.5081165207325544
20231211,482,376,94,106,40581.0,0.5178719827396466
20231212,410,457,85,-47,40534.0,0.5096943568540906
20231213,272,599,81,-327,40207.0,0.473801697461561
20231214,467,419,66,48,40255.0,0.48349012267171015
20231215,500,380,72,120,40375.0,0.49888861276445706
20231218,453,432,67,21,40396.0,0.5012478480399487
20231219,364,525,63,-161,40235.0,0.4845571154686194
20231220,685,205,62,480,40715.0,0.5363945347194731
