date,advances,declines,unchanged,ad_diff,ad_line,breadth_thrust_ema10,open,high,low,close
20240711,442,415,98,27,47717.0,0.4835895452692411,2888.76,2896.43,2879.28,2891.35
20240712,428,433,94,-5,47712.0,0.4860453369540016,2867.75,2872.25,2844.88,2857.0
20240715,495,382,78,113,47825.0,0.5002960344747522,2869.15,2872.9,2848.93,2860.92
20240716,359,500,96,-141,47684.0,0.48531999603389875,2861.71,2872.21,2857.07,2866.09
20240717,412,462,81,-50,47634.0,0.4827883387562562,2865.9,2868.58,2841.33,2843.29
20240718,277,605,73,-328,47306.0,0.4521102693307732,2805.64,2824.35,2799.02,2824.35
20240719,305,575,75,-270,47036.0,0.43292493110534336,2800.21,2802.68,2776.99,2795.46
20240722,212,676,67,-464,46572.0,0.3976183506750516,2790.99,2795.12,2752.63,2763.51
20240723,367,497,91,-130,46442.0,0.4025547448284092,2788.83,2796.92,2765.81,2774.29
20240724,370,491,94,-121,46321.0,0.40749622190638185,2755.5,2778.31,2748.65,2758.71
20240725,160,732,63,-572,45749.0,0.3660191265251155,2721.29,2725.15,2703.86,2710.65
20240726,596,289,70,307,46056.0,0.4219149812812064,2724.99,2738.4,2715.75,2731.9
20240729,636,246,75,390,46446.0,0.47631015475265065,2748.32,2776.86,2742.69,2765.53
20240730,227,667,63,-440,46006.0,0.4358746700365901,2744.4,2754.53,2732.82,2738.19
20240731,589,304,64,285,46291.0,0.4765473605908657,2745.58,2770.7,2733.63,2770.69
20240801,633,251,73,382,46673.0,0.52009572201367,2787.27,2794.11,2772.97,2777.68
20240802,60,871,26,-811,45862.0,0.43725046916829813,2719.39,2725.05,2666.4,2676.19
20240805,10,924,23,-914,44948.0,0.3596970453405406,2611.3,2611.3,2386.96,2441.55
20240806,856,73,28,783,45731.0,0.46182865212763086,2533.34,2578.77,2491.47,2522.15
20240807,730,176,51,554,46285.0,0.5243578998042044,2515.27,2594.83,2510.82,2568.41
20240808,424,468,65,-44,46241.0,0.5154448858161591,2530.21,2570.34,2518.52,2556.73
20240809,703,202,52,501,46742.0,0.5629631938696751,2603.08,2603.08,2575.9,2588.43
20240812,677,204,76,473,47215.0,0.6003235129700396,2602.16,2622.86,2602.01,2618.3
20240813,325,563,69,-238,46977.0,0.5577175998829398,2624.5,2636.12,2607.52,2621.5
20240814,652,236,69,416,47393.0,0.589811533401357,2649.11,2653.71,2632.44,2644.5
20240816,476,414,67,62,47455.0,0.5798151565418661,2695.49,2699.61,2680.74,2697.23
20240819,349,535,74,-186,47269.0,0.5461753790052536,2697.97,2699.84,2664.28,2674.36
20240820,649,245,64,404,47673.0,0.5788618160948007,2699.74,2706.05,2686.06,2696.63
20240821,409,450,99,-41,47632.0,0.5601842205766646,2687.2,2704.98,2684.61,2701.13
20240822,285,599,74,-314,47318.0,0.5169503968436799,2710.95,2711.38,2690.35,2707.67
20240823,429,432,97,-3,47315.0,0.513551750094148,2690.8,2712.84,2689.54,2701.69
20240826,378,509,71,-131,47184.0,0.49766153746044717,2716.88,2718.47,2688.79,2698.01
20240827,437,424,97,13,47197.0,0.49945932359634726,2696.24,2700.18,2681.92,2689.25
20240828,260,628,70,-368,46829.0,0.4618835907229737,2690.59,2695.51,2671.59,2689.83
20240829,283,592,83,-309,46520.0,0.4367099508512642,2657.18,2672.9,2649.56,2662.28
20240830,583,293,82,290,46810.0,0.4783127078156254,2676.72,2686.51,2668.66,2674.31
20240902,327,536,95,-209,46601.0,0.46023962936942614,2683.8,2686.98,2658.31,2681.0
20240903,458,420,80,38,46639.0,0.47140334968701647,2683.12,2695.59,2664.63,2664.63
20240904,52,862,44,-810,45829.0,0.3960377913790926,2589.94,2608.13,2578.07,2580.8
20240905,358,523,77,-165,45664.0,0.39791390443141317,2598.36,2615.8,2560.65,2575.5
20240906,138,764,56,-626,45038.0,0.3533828941921197,2576.66,2576.94,2529.31,2544.28
20240909,504,374,80,130,45168.0,0.39350089355002377,2498.67,2543.22,2491.3,2535.93
20240910,343,535,80,-192,44976.0,0.39298447513276946,2542.69,2544.83,2522.48,2523.43
20240911,345,528,85,-183,44793.0,0.393385298460707,2524.86,2526.13,2493.37,2513.37
20240912,766,127,65,639,45432.0,0.47782119960589453,2547.5,2572.09,2537.87,2572.09
20240913,602,271,85,331,45763.0,0.5163221040615967,2571.81,2584.11,2562.91,2575.41
20240919,498,373,87,125,45888.0,0.5264011036153696,2594.67,2598.68,2550.09,2580.8
20240920,567,319,72,248,46136.0,0.547047239916782,2603.83,2619.55,2591.4,2593.37
20240923,437,451,70,-14,46122.0,0.5370599448622974,2596.47,2603.57,2588.49,2602.01
20240924,608,265,85,343,46465.0,0.5660397778593221,2612.45,2631.68,2597.81,2631.68
20240925,357,518,83,-161,46304.0,0.5373052727939908,2652.71,2663.36,2596.32,2596.32
20240926,750,141,67,609,46913.0,0.5926590126043273,2630.91,2671.57,2630.3,2671.57
20240927,417,459,83,-42,46871.0,0.5714532643599539,2674.58,2681.45,2649.78,2649.78
20240930,182,711,66,-529,46342.0,0.5046085600795022,2665.24,2668.66,2593.27,2593.27
20241002,181,706,72,-525,45817.0,0.4499631172609066,2566.55,2591.61,2555.46,2561.69
20241004,464,414,81,50,45867.0,0.46423778759532863,2563.7,2585.59,2555.57,2569.71
20241007,621,261,77,360,46227.0,0.5078457594240072,2579.2,2611.93,2561.46,2610.38
20241008,306,572,80,-266,45961.0,0.47887732356269463,2592.65,2601.96,2581.79,2594.36
20241010,442,428,88,14,45975.0,0.48418071509884,2611.65,2613.61,2596.86,2599.16
20241011,369,489,100,-120,45855.0,0.47434239054812904,2612.02,2621.93,2594.43,2596.91
20241014,487,398,73,89,45944.0,0.4881496806076885,2602.63,2628.54,2602.63,2623.29
20241015,419,448,91,-29,45915.0,0.48726349562564675,2632.37,2635.32,2615.47,2633.45
20241016,324,555,79,-231,45684.0,0.4656884387107758,2606.7,2622.33,2601.35,2610.36
20241017,359,515,84,-156,45528.0,0.4557005678072563,2620.74,2622.71,2603.52,2609.3
20241018,269,592,97,-323,45205.0,0.4296509027492798,2616.04,2618.32,2587.96,2593.82
20241021,436,429,93,7,45212.0,0.4431773282084228,2600.77,2618.71,2594.05,2604.92
20241022,196,692,70,-496,44716.0,0.40273067230156784,2600.87,2604.16,2564.46,2570.7
20241023,450,411,97,39,44755.0,0.42453383799649974,2575.25,2607.79,2567.42,2599.62
20241024,257,617,84,-360,44395.0,0.40080956622430486,2591.69,2600.26,2578.8,2581.03
20241025,260,620,78,-360,44035.0,0.3816541079025304,2597.44,2611.27,2577.0,2583.27
20241028,617,274,67,343,44378.0,0.4381679717651659,2588.45,2612.96,2587.2,2612.43
20241029,409,445,104,-36,44342.0,0.44557792537652385,2606.94,2617.8,2595.86,2617.8
20241030,352,516,90,-164,44178.0,0.43829647602025595,2606.99,2613.47,2586.88,2593.79
20241031,473,405,80,68,44246.0,0.45655609375772027,2575.24,2579.65,2552.36,2556.15
20241101,290,601,67,-311,43935.0,0.4327235298278909,2542.96,2559.3,2536.84,2542.36
20241104,622,256,80,366,44301.0,0.4828516600434866,2549.04,2588.97,2542.68,2588.97
20241105,515,359,84,156,44457.0,0.5021958766280492,2570.24,2586.73,2564.66,2576.88
20241106,325,556,78,-231,44226.0,0.4779600769563308,2591.9,2592.75,2544.04,2563.51
20241107,355,513,91,-158,44068.0,0.465419367530672,2557.23,2579.81,2540.48,2564.63
20241108,391,470,98,-79,43989.0,0.4633655030086767,2586.7,2593.15,2553.42,2561.15
20241111,187,730,42,-543,43446.0,0.4161946561247753,2562.05,2562.05,2525.56,2531.66
20241112,121,791,47,-670,42776.0,0.3646457074832691,2527.94,2532.44,2481.53,2482.57
20241113,107,803,49,-696,42080.0,0.3197251093194779,2468.27,2478.87,2415.77,2417.08
20241114,430,452,77,-22,42058.0,0.35023478847433676,2430.26,2441.43,2410.93,2418.86
20241115,508,391,60,117,42175.0,0.3892961546714388,2413.05,2433.18,2390.56,2416.86
20241118,617,284,58,333,42508.0,0.44302315792863456,2440.31,2480.01,2437.53,2469.07
20241119,460,412,87,48,42556.0,0.4583867539015767,2469.13,2479.39,2465.15,2471.95
20241120,437,422,100,15,42571.0,0.46754026822024436,2475.76,2489.15,2471.79,2482.29
20241121,394,479,86,-85,42486.0,0.4645906370307674,2474.62,2496.97,2474.62,2480.63
20241122,518,357,84,161,42647.0,0.48775597575244606,2493.42,2511.23,2492.21,2501.24
20241125,611,285,63,326,42973.0,0.5230584606805727,2524.11,2541.76,2517.98,2534.34
20241126,487,391,81,96,43069.0,0.5288059594427299,2521.39,2526.62,2512.21,2520.36
20241127,375,518,66,-143,42926.0,0.5090108414986481,2518.82,2526.32,2498.32,2503.06
20241128,517,363,79,154,43080.0,0.523281597589803,2499.69,2513.63,2495.64,2504.67
20241129,171,727,62,-556,42524.0,0.46276188213411495,2496.93,2496.93,2446.96,2455.91
20241202,217,678,65,-461,42063.0,0.4227066491203957,2479.02,2483.29,2448.45,2454.48
20241203,735,166,59,569,42632.0,0.4941709431659054,2472.06,2500.67,2471.55,2500.1
20241204,176,737,47,-561,42071.0,0.4393709688334406,2450.76,2483.04,2442.46,2464.0
20241205,177,727,56,-550,41521.0,0.39508469453226797,2471.45,2471.45,2434.78,2441.85
20241206,250,660,50,-410,41111.0,0.37320116365826916,2451.6,2459.24,2397.73,2428.16
20241209,60,870,29,-810,40301.0,0.3170766119080853,2392.37,2399.52,2360.18,2360.58
20241210,878,48,33,830,41131.0,0.43181980008266074,2384.51,2419.06,2384.51,2417.84
20241211,812,102,45,710,41841.0,0.514834859307735,2412.15,2443.34,2411.38,2442.51
20241212,618,280,61,338,42179.0,0.5463550650865675,2456.63,2487.95,2448.76,2482.12
20241213,635,255,69,380,42559.0,0.5767419889012672,2473.75,2500.32,2470.24,2494.46
20241216,491,398,71,93,42652.0,0.5722990748746332,2511.08,2515.62,2483.43,2488.97
20241217,386,496,78,-110,42542.0,0.5478159200530651,2487.31,2487.31,2455.05,2456.81
20241218,583,306,71,277,42819.0,0.5674481211110107,2463.06,2492.0,2462.82,2484.43
20241219,214,684,62,-470,42349.0,0.5076043444846313,2426.55,2450.05,2423.59,2435.93
20241220,205,707,48,-502,41847.0,0.456181863988223,2429.63,2430.69,2389.86,2404.15
20241223,719,188,54,531,42378.0,0.5173712093551032,2423.36,2446.97,2413.62,2442.01
20241224,392,485,84,-93,42285.0,0.5045725049694029,2450.55,2452.85,2432.42,2440.52
20241226,302,592,67,-290,41995.0,0.47425161429568996,2449.52,2449.52,2428.82,2429.67
20241227,115,808,38,-693,41302.0,0.41067745099520303,2419.46,2423.86,2388.33,2404.77
20241230,444,443,74,1,41303.0,0.42702040497024757,2397.49,2429.75,2390.44,2399.49
20250102,455,427,79,28,41331.0,0.44317542513438724,2400.87,2410.99,2386.84,2398.94
20250103,691,206,64,485,41816.0,0.5026609108249628,2402.58,2454.67,2402.58,2441.92
20250106,630,259,72,371,42187.0,0.5401155483700304,2453.3,2489.1,2446.82,2488.64
20250107,446,428,87,18,42205.0,0.5346940819095755,2513.49,2521.86,2492.09,2492.1
20250108,460,411,90,49,42254.0,0.5335003557133036,2481.25,2526.77,2481.25,2521.05
20250109,364,521,76,-157,42097.0,0.511282006497839,2526.1,2535.87,2515.82,2521.9
20250110,463,410,88,53,42150.0,0.5147498412010331,2528.42,2535.24,2506.29,2515.78
20250113,262,640,59,-378,41772.0,0.47397089406067183,2508.15,2513.93,2483.73,2489.56
20250114,513,364,84,149,41921.0,0.49414867490627995,2501.49,2504.89,2482.74,2497.4
20250115,270,597,94,-327,41594.0,0.4609250403998849,2511.07,2524.36,2493.1,2496.81
20250116,600,281,80,319,41913.0,0.5009467181230717,2528.27,2534.01,2519.86,2527.49
20250117,435,448,78,-13,41900.0,0.49943617511830024,2520.85,2528.48,2513.84,2523.55
20250120,389,491,81,-102,41798.0,0.48900149865051007,2533.68,2536.72,2516.28,2520.05
20250121,388,487,86,-99,41699.0,0.48071551188288486,2533.23,2548.44,2507.95,2518.03
20250122,403,483,75,-80,41619.0,0.4760132866564871,2535.8,2552.57,2526.89,2547.06
20250123,191,700,70,-509,41110.0,0.4284410310884981,2541.24,2541.6,2515.49,2515.49
20250124,545,323,93,222,41332.0,0.4647026953145525,2529.29,2542.83,2522.64,2536.8
20250131,335,563,63,-228,41104.0,0.44803879161087395,2534.33,2537.98,2496.95,2517.37
20250203,96,825,40,-729,40375.0,0.38552892544295075,2468.74,2468.74,2437.61,2453.95
20250204,693,209,59,484,40859.0,0.455122335894565,2481.44,2508.35,2471.63,2481.69
20250205,590,303,69,287,41146.0,0.4924990546253302,2503.94,2514.71,2498.74,2509.27
20250206,599,282,81,317,41463.0,0.5265736254384731,2521.82,2536.75,2515.34,2536.75
20250207,291,601,70,-310,41153.0,0.49014809060538744,2532.09,2537.63,2519.01,2521.92
20250210,416,458,88,-42,41111.0,0.48757071777636546,2510.64,2527.33,2499.18,2521.27
20250211,472,410,80,62,41173.0,0.4962210222334352,2532.87,2549.44,2527.74,2539.05
20250212,333,555,74,-222,40951.0,0.4741808363728106,2534.71,2549.58,2528.74,2548.39
20250213,573,312,77,261,41212.0,0.5056857074175076,2558.95,2583.74,2555.98,2583.17
20250214,498,367,97,131,41343.0,0.5184196775875246,2588.2,2600.57,2582.84,2591.05
20250217,620,267,75,353,41696.0,0.5512497987271916,2595.99,2612.8,2592.57,2610.42
20250218,480,398,84,82,41778.0,0.5504220241812247,2613.25,2628.47,2605.15,2626.81
20250219,575,306,81,269,42047.0,0.5690120967632782,2633.91,2680.7,2633.91,2671.52
20250220,452,417,93,35,42082.0,0.5601259136714718,2661.72,2667.59,2645.53,2654.06
20250221,510,371,81,139,42221.0,0.5635371344031679,2653.76,2656.04,2638.44,2654.58
20250224,451,423,87,28,42249.0,0.5548973475364384,2636.12,2645.27,2626.88,2645.27
20250225,360,530,71,-170,42079.0,0.5275513538066262,2617.64,2641.49,2617.12,2630.29
20250226,545,337,79,208,42287.0,0.5439808953326116,2629.86,2648.06,2620.16,2641.09
20250227,322,566,73,-244,42043.0,0.5110048439289754,2637.63,2638.47,2610.47,2621.75
20250228,95,836,30,-741,41302.0,0.4366477480012581,2585.61,2586.78,2531.24,2532.78
20250304,311,594,56,-283,41019.0,0.41973841360826186,2522.2,2548.78,2513.31,2528.92
20250305,716,180,65,536,41555.0,0.4887145461989675,2548.45,2561.47,2535.18,2558.13
20250306,486,395,80,91,41646.0,0.5001566027047377,2573.55,2583.65,2565.57,2576.16
20250307,351,542,68,-191,41455.0,0.4806839678242876,2553.44,2575.48,2541.49,2563.48
20250310,408,469,84,-61,41394.0,0.47787276438655557,2555.4,2579.76,2549.99,2570.39
20250311,181,733,47,-552,40842.0,0.42699237714778254,2516.69,2547.88,2505.91,2537.6
20250312,511,354,96,157,40999.0,0.45676675313667753,2552.6,2579.69,2541.66,2574.82
20250313,333,540,88,-207,40792.0,0.44307157965165833,2598.06,2600.07,2561.02,2573.64
20250314,510,359,93,151,40943.0,0.469218832979979,2565.18,2576.74,2559.24,2566.36
20250317,530,358,75,172,41115.0,0.4924239264103186,2588.32,2610.69,2587.52,2610.69
20250318,436,433,94,3,41118.0,0.4941152346955855,2627.27,2638.56,2606.91,2612.34
20250319,506,371,86,135,41253.0,0.5091791797918789,2613.48,2642.83,2613.48,2628.62
20250320,334,545,84,-211,41042.0,0.48568791926089083,2648.16,2650.72,2629.2,2637.1
20250321,317,566,80,-249,40793.0,0.46265436985136404,2633.9,2645.82,2617.78,2643.13
20250324,406,463,94,-57,40736.0,0.46348151758630796,2636.43,2648.82,2629.38,2632.07
20250325,305,579,79,-274,40462.0,0.4419435370132318,2653.04,2654.63,2612.74,2615.81
20250326,458,417,88,41,40503.0,0.4567589978160208,2628.09,2649.15,2618.05,2643.94
